плащ дождевик	[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE')]
огуркц	[(0, 6, 'B-TYPE')]
жоместо	[(0, 7, 'B-TYPE')]
батарейка cameli	[(0, 9, 'B-TYPE'), (10, 16, 'B-BRAND')]
маомеладки	[(0, 10, 'B-TYPE')]
разрыхлите	[(0, 10, 'B-TYPE')]
маионе	[(0, 6, 'B-TYPE')]
багет челны-хл	[(0, 5, 'B-TYPE'), (6, 14, 'B-BRAND')]
череизово	[(0, 9, 'B-TYPE')]
ополаскиватель для белья	[(0, 14, 'B-TYPE'), (15, 18, 'O'), (19, 24, 'O')]
hemoloko	[(0, 8, 'B-TYPE')]
лампочеи	[(0, 8, 'B-TYPE')]
минеральначя	[(0, 12, 'B-TYPE')]
авангард хлебцы	[(0, 8, 'B-BRAND'), (9, 15, 'B-TYPE')]
супчи	[(0, 5, 'B-TYPE')]
оливковый	[(0, 9, 'B-BRAND')]
еемолюк	[(0, 7, 'B-TYPE')]
сигареты dunhi	[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND')]
ябооко	[(0, 6, 'B-TYPE')]
сыло	[(0, 4, 'B-TYPE')]
фруктвя смсь	[(0, 7, 'O'), (8, 12, 'O')]
српдство для мытья	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 18, 'O')]
палочка paclan	[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]
сливы	[(0, 5, 'B-TYPE')]
тосте	[(0, 5, 'B-TYPE')]
econta вилк	[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
форшмак	[(0, 7, 'B-TYPE')]
бумяги	[(0, 6, 'B-TYPE')]
папиро	[(0, 6, 'B-TYPE')]
картошкка	[(0, 9, 'B-TYPE')]
помидорпы	[(0, 9, 'B-TYPE')]
сырные шарики	[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE')]
хмеле	[(0, 5, 'B-TYPE')]
бумага. уале ная	[(0, 7, 'B-TYPE'), (8, 12, 'O'), (13, 16, 'O')]
концеты	[(0, 7, 'B-TYPE')]
конфетых	[(0, 8, 'B-TYPE')]
пеяенье	[(0, 7, 'B-TYPE')]
конфеты княжеские	[(0, 7, 'B-TYPE'), (8, 17, 'I-TYPE')]
калачи бкк	[(0, 6, 'B-TYPE'), (7, 10, 'B-BRAND')]
atlantic тру	[(0, 8, 'B-BRAND'), (9, 12, 'B-TYPE')]
модоко	[(0, 6, 'B-TYPE')]
ацидофилин вятушка	[(0, 10, 'B-TYPE'), (11, 18, 'B-BRAND')]
батончик вкус и польза	[(0, 8, 'B-TYPE'), (9, 13, 'B-BRAND'), (14, 15, 'I-BRAND'), (16, 22, 'I-BRAND')]
одея	[(0, 4, 'B-TYPE')]
творожные палочки	[(0, 9, 'B-TYPE'), (10, 17, 'I-TYPE')]
твор	[(0, 4, 'B-TYPE')]
рузики	[(0, 6, 'B-BRAND')]
ручкой	[(0, 6, 'B-TYPE')]
henz	[(0, 4, 'B-BRAND')]
моролко	[(0, 7, 'B-TYPE')]
наборы оборудования	[(0, 6, 'B-TYPE'), (7, 19, 'I-TYPE')]
селянский	[(0, 9, 'B-TYPE')]
m&m’s	[(0, 5, 'B-BRAND')]
мягкий корм	[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE')]
leibendorf	[(0, 10, 'B-BRAND')]
кетчуп для шашл	[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 15, 'O')]
овощи замороженые	[(0, 5, 'B-TYPE'), (6, 17, 'I-TYPE')]
топлёное масло	[(0, 8, 'B-TYPE'), (9, 14, 'I-TYPE')]
басмати	[(0, 7, 'B-TYPE')]
сус	[(0, 3, 'B-TYPE')]
фермерские	[(0, 10, 'B-TYPE')]
сердец	[(0, 6, 'B-TYPE')]
помидол	[(0, 7, 'B-TYPE')]
зельнт	[(0, 6, 'B-TYPE')]
кето	[(0, 4, 'B-TYPE')]
производство ка	[(0, 12, 'B-BRAND'), (13, 15, 'B-TYPE')]
mila	[(0, 4, 'B-BRAND')]
одеяла viole	[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
кислая капуста	[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE')]
сущеное	[(0, 7, 'B-TYPE')]
everve	[(0, 6, 'B-BRAND')]
тартал	[(0, 6, 'B-TYPE')]
мандариный	[(0, 10, 'B-TYPE')]
грейфру	[(0, 7, 'B-TYPE')]
полотенцеб	[(0, 10, 'B-TYPE')]
торт панчо	[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE')]
twiste	[(0, 6, 'B-BRAND')]
бананв	[(0, 6, 'B-TYPE')]
слабосоленая рыб	[(0, 12, 'B-TYPE'), (13, 16, 'I-TYPE')]
земляничная	[(0, 11, 'B-TYPE')]
delice	[(0, 6, 'B-BRAND')]
пылесос irit	[(0, 7, 'B-TYPE'), (8, 12, 'B-BRAND')]
зоохрум	[(0, 7, 'B-TYPE')]
бытпласт т	[(0, 8, 'B-BRAND'), (9, 10, 'B-TYPE')]
маеонез	[(0, 7, 'B-TYPE')]
сэндвичный	[(0, 10, 'B-TYPE')]
mikado кукуруз	[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE')]
длительного хранения	[(0, 11, 'B-TYPE'), (12, 20, 'I-TYPE')]
лапаша	[(0, 6, 'B-TYPE')]
энергетеки	[(0, 10, 'B-TYPE')]
уткнок	[(0, 6, 'B-TYPE')]
протейновый	[(0, 11, 'B-TYPE')]
салбетки	[(0, 8, 'B-TYPE')]
жувачка	[(0, 7, 'B-TYPE')]
вятуш	[(0, 5, 'B-TYPE')]
полсолнечное	[(0, 12, 'B-TYPE')]
клячей	[(0, 6, 'B-TYPE')]
батарейка jazzway	[(0, 9, 'B-TYPE'), (10, 17, 'B-BRAND')]
коктейьь	[(0, 8, 'B-TYPE')]
каша жидкая безмолочная	[(0, 4, 'B-TYPE'), (5, 11, 'O'), (12, 23, 'O')]
макароны паутинка	[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE')]
таблетик	[(0, 8, 'B-TYPE')]
черника papadimitrio	[(0, 7, 'B-TYPE'), (8, 20, 'B-BRAND')]
колбаса	[(0, 7, 'B-TYPE')]
листы от магги	[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 14, 'B-BRAND')]
лепкшка	[(0, 7, 'B-TYPE')]
зубочистки	[(0, 10, 'B-TYPE')]
рис пропаре	[(0, 3, 'B-TYPE'), (4, 11, 'I-TYPE')]
карамели яшки	[(0, 8, 'B-TYPE'), (9, 13, 'B-BRAND')]
энегргетик	[(0, 10, 'B-TYPE')]
безлактозы	[(0, 10, 'B-TYPE')]
горощок	[(0, 7, 'B-TYPE')]
фен galax	[(0, 3, 'B-TYPE'), (4, 9, 'B-BRAND')]
конфе	[(0, 5, 'B-TYPE')]
уаьачки	[(0, 7, 'B-TYPE')]
ванилин трапе	[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]
ветчи6а	[(0, 7, 'B-TYPE')]
свекла маринованая	[(0, 6, 'B-TYPE'), (7, 18, 'I-TYPE')]
киноа	[(0, 5, 'B-TYPE')]
корицр	[(0, 6, 'B-TYPE')]
перекресток укро	[(0, 11, 'B-BRAND'), (12, 16, 'B-TYPE')]
рычал су	[(0, 5, 'B-BRAND'), (6, 8, 'I-BRAND')]
ветчина в нарезку	[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 17, 'O')]
персик papadimitri	[(0, 6, 'B-TYPE'), (7, 18, 'B-BRAND')]
белгородрыба с	[(0, 12, 'B-BRAND'), (13, 14, 'B-TYPE')]
цыпленок пюре	[(0, 8, 'B-TYPE'), (9, 13, 'I-TYPE')]
тоохун	[(0, 6, 'B-TYPE')]
заливные окраи	[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND')]
вилка перекресток	[(0, 5, 'B-TYPE'), (6, 17, 'B-BRAND')]
твлрожкт	[(0, 8, 'B-TYPE')]
фриллис	[(0, 7, 'B-BRAND')]
ливерные д	[(0, 8, 'B-TYPE'), (9, 10, 'B-BRAND')]
салфеткич	[(0, 9, 'B-TYPE')]
томвты	[(0, 6, 'B-TYPE')]
пасха актив	[(0, 5, 'B-TYPE'), (6, 11, 'B-BRAND')]
пирправ	[(0, 7, 'B-TYPE')]
flas	[(0, 4, 'B-BRAND')]
слоенлн	[(0, 7, 'B-TYPE')]
яблочки недалеко	[(0, 7, 'B-TYPE'), (8, 16, 'O')]
маршмнлоу	[(0, 9, 'B-TYPE')]
сигареты b	[(0, 8, 'B-TYPE'), (9, 10, 'B-BRAND')]
рулетики с апельсином	[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 21, 'O')]
neo	[(0, 3, 'B-BRAND')]
тонизирующий	[(0, 12, 'B-TYPE')]
тыорог село зеленое	[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND'), (12, 19, 'I-BRAND')]
сок nest	[(0, 3, 'B-TYPE'), (4, 8, 'B-BRAND')]
сапожки	[(0, 7, 'B-TYPE')]
лист нори	[(0, 4, 'B-TYPE'), (5, 9, 'I-TYPE')]
пельменя	[(0, 8, 'B-TYPE')]
mbb	[(0, 3, 'O')]
витаминн	[(0, 8, 'B-TYPE')]
milkiw	[(0, 6, 'B-BRAND')]
анчоу	[(0, 5, 'B-TYPE')]
снжок	[(0, 5, 'B-TYPE')]
конфетв	[(0, 7, 'B-TYPE')]
доброгост сал	[(0, 9, 'B-BRAND'), (10, 13, 'B-TYPE')]
водв	[(0, 4, 'B-TYPE')]
овсяное молоко	[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')]
чипсы яблочные	[(0, 5, 'B-TYPE'), (6, 14, 'I-TYPE')]
каша геркулесовая	[(0, 4, 'B-TYPE'), (5, 17, 'I-TYPE')]
рис басматти	[(0, 3, 'B-TYPE'), (4, 12, 'I-TYPE')]
шокаладки	[(0, 9, 'B-TYPE')]
прочие проклад	[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE')]
velmont труcы	[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]
papi	[(0, 4, 'B-BRAND')]
сыр для са	[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 10, 'O')]
виски с	[(0, 5, 'B-TYPE'), (6, 7, 'B-BRAND')]
шарики	[(0, 6, 'B-TYPE')]
fish house	[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE')]
fruittella конфет	[(0, 10, 'B-BRAND'), (11, 17, 'B-TYPE')]
пастишк	[(0, 7, 'B-TYPE')]
смесь сухая на второе	[(0, 5, 'B-TYPE'), (6, 11, 'I-TYPE'), (12, 14, 'O'), (15, 21, 'O')]
конфеты в шоколаде	[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 18, 'O')]
туне	[(0, 4, 'B-TYPE')]
хлеб для сенгвичей	[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 18, 'O')]
пельмени халяль	[(0, 8, 'B-TYPE'), (9, 15, 'I-TYPE')]
безглютеновы	[(0, 12, 'B-TYPE')]
фрика	[(0, 5, 'B-BRAND')]
малинов	[(0, 7, 'B-TYPE')]
ребраг	[(0, 6, 'B-TYPE')]
кваас	[(0, 5, 'B-TYPE')]
мёд маркет	[(0, 3, 'B-TYPE'), (4, 10, 'B-BRAND')]
завьрпки	[(0, 8, 'B-TYPE')]
картошках	[(0, 9, 'B-TYPE')]
пяелка	[(0, 6, 'B-TYPE')]
морс	[(0, 4, 'B-TYPE')]
прочий освежител	[(0, 6, 'B-TYPE'), (7, 16, 'I-TYPE')]
мпндарины	[(0, 9, 'B-TYPE')]
шоколадные фигу	[(0, 10, 'B-TYPE'), (11, 15, 'I-TYPE')]
слойка с алы	[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 12, 'O')]
биоряженка	[(0, 10, 'B-TYPE')]
биттер	[(0, 6, 'B-TYPE')]
пуддминг	[(0, 8, 'B-TYPE')]
козинаеи	[(0, 8, 'B-TYPE')]
хэзефир	[(0, 7, 'B-TYPE')]
гарниры	[(0, 7, 'B-TYPE')]
дрожжжи	[(0, 7, 'B-TYPE')]
средство для мытья стёкол	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 18, 'O'), (19, 25, 'O')]
водак	[(0, 5, 'B-TYPE')]
форма для льда	[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 14, 'O')]
аккумулятор	[(0, 11, 'B-TYPE')]
молого	[(0, 6, 'B-TYPE')]
шампанское ст	[(0, 10, 'B-TYPE'), (11, 13, 'B-BRAND')]
корм доч котят	[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 14, 'O')]
напитка	[(0, 7, 'B-TYPE')]
мультизлаковая	[(0, 14, 'B-TYPE')]
мороженное в стакан	[(0, 10, 'B-TYPE'), (11, 12, 'O'), (13, 19, 'O')]
pelikan шпрот	[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]
пампер	[(0, 6, 'B-BRAND')]
щюки	[(0, 4, 'B-TYPE')]
простокваша	[(0, 11, 'B-TYPE')]
медовы	[(0, 6, 'B-TYPE')]
kiteks	[(0, 6, 'B-BRAND')]
парме	[(0, 5, 'B-BRAND')]
шоуолад	[(0, 7, 'B-BRAND')]
картофед	[(0, 8, 'B-TYPE')]
салфетка для уборки	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 19, 'O')]
пиц	[(0, 3, 'B-TYPE')]
зелент	[(0, 6, 'B-TYPE')]
сырце	[(0, 5, 'B-TYPE')]
газиро	[(0, 6, 'B-TYPE')]
вареые	[(0, 6, 'B-TYPE')]
лимонид	[(0, 7, 'B-TYPE')]
сырки творож	[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE')]
тесто доя пи	[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 12, 'O')]
сввекла	[(0, 7, 'B-TYPE')]
тройник	[(0, 7, 'B-TYPE')]
стиральные машин	[(0, 10, 'B-TYPE'), (11, 16, 'I-TYPE')]
корзиночек кристал	[(0, 10, 'B-TYPE'), (11, 18, 'B-BRAND')]
эконива кефир	[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]
псковский	[(0, 9, 'B-BRAND')]
поводки дома	[(0, 7, 'B-TYPE'), (8, 12, 'O')]
sicilia	[(0, 7, 'B-BRAND')]
лосо	[(0, 4, 'B-TYPE')]
пив. волжани	[(0, 4, 'B-TYPE'), (5, 12, 'B-BRAND')]
холодушка сусом	[(0, 9, 'B-BRAND'), (10, 15, 'B-TYPE')]
эненергетик	[(0, 11, 'B-TYPE')]
блинык	[(0, 6, 'B-TYPE')]
энергетикт	[(0, 10, 'B-TYPE')]
текила ст	[(0, 6, 'B-TYPE'), (7, 9, 'B-BRAND')]
колбсныеиздеия	[(0, 14, 'O')]
велосипеды	[(0, 10, 'B-TYPE')]
лимончи	[(0, 7, 'B-TYPE')]
гричка	[(0, 6, 'B-TYPE')]
розма	[(0, 5, 'B-BRAND')]
сюяйца	[(0, 6, 'B-TYPE')]
морковь натурово	[(0, 7, 'B-TYPE'), (8, 16, 'B-BRAND')]
сфемечки	[(0, 8, 'B-TYPE')]
пекарь креке	[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
artfruit гру	[(0, 8, 'B-BRAND'), (9, 12, 'B-TYPE')]
яйцва	[(0, 5, 'B-TYPE')]
вермищель	[(0, 9, 'B-TYPE')]
производство ванил	[(0, 12, 'B-BRAND'), (13, 18, 'B-TYPE')]
субпродук	[(0, 9, 'B-TYPE')]
майщ	[(0, 4, 'B-TYPE')]
col	[(0, 3, 'B-BRAND')]
лукш	[(0, 4, 'B-TYPE')]
кревет	[(0, 6, 'B-TYPE')]
сьейк	[(0, 5, 'B-TYPE')]
виноград бес косточки	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 21, 'O')]
питьевой	[(0, 8, 'B-TYPE')]
грудка копчёная	[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE')]
мски	[(0, 4, 'B-TYPE')]
приправа хмели сунели	[(0, 8, 'B-TYPE'), (9, 14, 'I-TYPE'), (15, 21, 'O')]
лакомка торт	[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE')]
масло подсолн	[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE')]
сноуборды	[(0, 9, 'B-TYPE')]
морковтю	[(0, 8, 'B-TYPE')]
морковка по корей	[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 17, 'O')]
радость вус	[(0, 7, 'O'), (8, 11, 'O')]
огургцы	[(0, 7, 'B-TYPE')]
рогалики вект	[(0, 8, 'B-TYPE'), (9, 13, 'B-BRAND')]
сырокч	[(0, 6, 'B-TYPE')]
салями	[(0, 6, 'B-TYPE')]
салы	[(0, 4, 'B-TYPE')]
чай красный	[(0, 3, 'B-TYPE'), (4, 11, 'I-TYPE')]
колбасаж	[(0, 8, 'B-TYPE')]
сыра плавленны	[(0, 4, 'B-TYPE'), (5, 14, 'I-TYPE')]
гурми сала	[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE')]
крабовые палочки красная	[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE'), (17, 24, 'B-BRAND')]
масдины	[(0, 7, 'B-TYPE')]
конфеты сосательные	[(0, 7, 'B-TYPE'), (8, 19, 'I-TYPE')]
масловы сливочная	[(0, 7, 'B-TYPE'), (8, 17, 'I-TYPE')]
кофе в пак	[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 10, 'O')]
крем-мыло nive	[(0, 9, 'B-TYPE'), (10, 14, 'B-BRAND')]
ьезлактозное	[(0, 12, 'B-TYPE')]
сырковая масса	[(0, 8, 'B-TYPE'), (9, 14, 'I-TYPE')]
тряпок pacla	[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
чечмл	[(0, 5, 'B-TYPE')]
жклатин	[(0, 7, 'B-TYPE')]
закуска венгерская	[(0, 7, 'B-TYPE'), (8, 18, 'I-TYPE')]
селедочка	[(0, 9, 'B-TYPE')]
пиражок	[(0, 7, 'B-TYPE')]
огурцыы	[(0, 7, 'B-TYPE')]
рамён	[(0, 5, 'B-TYPE')]
зубные щётки	[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]
exxe бритв	[(0, 4, 'B-BRAND'), (5, 10, 'B-TYPE')]
скителс	[(0, 7, 'B-BRAND')]
гранатовыц	[(0, 10, 'B-TYPE')]
полукопченая колбаск	[(0, 12, 'B-TYPE'), (13, 20, 'I-TYPE')]
трюфельные	[(0, 10, 'B-TYPE')]
вода черноголовка	[(0, 4, 'B-TYPE'), (5, 17, 'B-BRAND')]
елочка виноград	[(0, 6, 'B-BRAND'), (7, 15, 'B-TYPE')]
игровые наборы	[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')]
сладости для детей	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 18, 'O')]
мейонез	[(0, 7, 'B-TYPE')]
арбуз fresc	[(0, 5, 'B-TYPE'), (6, 11, 'B-BRAND')]
шоколада	[(0, 8, 'B-TYPE')]
san	[(0, 3, 'B-BRAND')]
морозко виш	[(0, 7, 'B-BRAND'), (8, 11, 'B-TYPE')]
салаты скарле	[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]
кцрица	[(0, 6, 'B-TYPE')]
томаты маринованные	[(0, 6, 'B-TYPE'), (7, 19, 'I-TYPE')]
стручков	[(0, 8, 'B-TYPE')]
ореххи	[(0, 6, 'B-TYPE')]
картлшка	[(0, 8, 'B-TYPE')]
роб рой	[(0, 3, 'B-TYPE'), (4, 7, 'I-TYPE')]
бумага туалетная 4	[(0, 6, 'B-TYPE'), (7, 16, 'I-TYPE'), (17, 18, 'O')]
сывялнна	[(0, 8, 'O')]
наполнители для туалетов	[(0, 11, 'B-TYPE'), (12, 15, 'O'), (16, 24, 'O')]
конфеты победа вкуса	[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND'), (15, 20, 'I-BRAND')]
клетчитка	[(0, 9, 'B-TYPE')]
лимоннвй	[(0, 8, 'B-TYPE')]
яйцо сюрприз	[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE')]
вишни марк	[(0, 5, 'B-TYPE'), (6, 10, 'B-BRAND')]
компоты верес	[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]
deonica тверд	[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]
activ	[(0, 5, 'B-BRAND')]
чай черный в пакет	[(0, 3, 'B-TYPE'), (4, 10, 'I-TYPE'), (11, 12, 'O'), (13, 18, 'O')]
дезодрант	[(0, 9, 'B-TYPE')]
чеьупицца	[(0, 9, 'B-TYPE')]
парфэ желатин	[(0, 5, 'B-BRAND'), (6, 13, 'B-TYPE')]
конфеты мультизлаковые	[(0, 7, 'B-TYPE'), (8, 22, 'I-TYPE')]
горохой	[(0, 7, 'B-TYPE')]
банана	[(0, 6, 'B-TYPE')]
имбирны	[(0, 7, 'B-TYPE')]
булк	[(0, 4, 'B-TYPE')]
яцц	[(0, 3, 'B-TYPE')]
bondue	[(0, 6, 'B-BRAND')]
мохит	[(0, 5, 'B-TYPE')]
консервы фасоль	[(0, 8, 'B-TYPE'), (9, 15, 'I-TYPE')]
колбкса	[(0, 7, 'B-TYPE')]
печень треск	[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]
печерь	[(0, 6, 'B-TYPE')]
печенбе шарлиз сдобное клубника	[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE'), (15, 22, 'I-TYPE'), (23, 31, 'O')]
напиток laimon fresh	[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND'), (15, 20, 'I-BRAND')]
katt	[(0, 4, 'B-BRAND')]
спк	[(0, 3, 'B-BRAND')]
айдиго разрыхлитель	[(0, 6, 'B-BRAND'), (7, 19, 'B-TYPE')]
пкттмель	[(0, 8, 'B-TYPE')]
черемушки	[(0, 9, 'B-TYPE')]
сгцщенкп	[(0, 8, 'B-TYPE')]
swen	[(0, 4, 'O')]
egs	[(0, 3, 'O')]
тряпки topper	[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]
виталэнд олив	[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE')]
боинная	[(0, 7, 'B-TYPE')]
брокколи пюре	[(0, 8, 'B-TYPE'), (9, 13, 'I-TYPE')]
пастмила	[(0, 8, 'B-TYPE')]
сырнички элик	[(0, 8, 'B-TYPE'), (9, 13, 'B-BRAND')]
jacobs ко	[(0, 6, 'B-BRAND'), (7, 9, 'B-TYPE')]
сациьели	[(0, 8, 'B-TYPE')]
трубочки ам	[(0, 8, 'B-TYPE'), (9, 11, 'B-BRAND')]
слмвушк	[(0, 7, 'B-TYPE')]
каббачки	[(0, 8, 'B-TYPE')]
dove	[(0, 4, 'B-BRAND')]
кардамон kotanyi	[(0, 8, 'B-TYPE'), (9, 16, 'B-BRAND')]
абрикоша	[(0, 8, 'B-TYPE')]
перчатки dan	[(0, 8, 'B-TYPE'), (9, 12, 'B-BRAND')]
нож papsta	[(0, 3, 'B-TYPE'), (4, 10, 'B-BRAND')]
дрржжи	[(0, 6, 'B-TYPE')]
кефиг	[(0, 5, 'B-TYPE')]
концервы	[(0, 8, 'B-TYPE')]
корм сухой собачий	[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE'), (11, 18, 'O')]
шиколад	[(0, 7, 'B-TYPE')]
корицп	[(0, 6, 'B-TYPE')]
valio мо	[(0, 5, 'B-BRAND'), (6, 8, 'B-TYPE')]
укзуса	[(0, 6, 'B-TYPE')]
посудомоечная машина	[(0, 13, 'B-TYPE'), (14, 20, 'I-TYPE')]
рис в коропках	[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 14, 'O')]
горош	[(0, 5, 'B-TYPE')]
говядина в желе	[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 15, 'O')]
фруктофо-овощное	[(0, 16, 'B-TYPE')]
гелт для посуды	[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 15, 'O')]
июгурт	[(0, 6, 'B-TYPE')]
икра мойвы	[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE')]
altero	[(0, 6, 'B-BRAND')]
кусочеи	[(0, 7, 'B-TYPE')]
иыло	[(0, 4, 'B-TYPE')]
гороц	[(0, 5, 'B-TYPE')]
kirlli	[(0, 6, 'B-BRAND')]
нескафе	[(0, 7, 'B-BRAND')]
хлеба	[(0, 5, 'B-TYPE')]
уксуса botanic	[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND')]
кормг	[(0, 5, 'B-TYPE')]
салфетки для детей	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 18, 'O')]
земляни	[(0, 7, 'B-TYPE')]
sheri	[(0, 5, 'O')]
нут увел	[(0, 3, 'B-TYPE'), (4, 8, 'B-BRAND')]
соль морская	[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE')]
лайм фреш	[(0, 4, 'B-TYPE'), (5, 9, 'I-TYPE')]
сельд под шубой	[(0, 5, 'B-TYPE'), (6, 9, 'I-TYPE'), (10, 15, 'I-TYPE')]
котлетки	[(0, 8, 'B-TYPE')]
семушка орехи	[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]
осянное	[(0, 7, 'B-TYPE')]
rost уксус	[(0, 4, 'B-BRAND'), (5, 10, 'B-TYPE')]
кофе сублимированный	[(0, 4, 'B-TYPE'), (5, 20, 'I-TYPE')]
черник	[(0, 6, 'B-TYPE')]
топленное рамоз	[(0, 9, 'B-TYPE'), (10, 15, 'B-BRAND')]
браслет	[(0, 7, 'B-TYPE')]
яйца куриное	[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE')]
грыбы	[(0, 5, 'B-TYPE')]
гречка красная цена	[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND'), (15, 19, 'I-BRAND')]
ярмарка нут	[(0, 7, 'B-BRAND'), (8, 11, 'B-TYPE')]
бадьян spicexpe	[(0, 6, 'B-TYPE'), (7, 15, 'B-BRAND')]
тряпка для стек	[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 15, 'O')]
сад	[(0, 3, 'O')]
собач	[(0, 5, 'B-TYPE')]
сушеная рыб	[(0, 7, 'B-TYPE'), (8, 11, 'I-TYPE')]
средство для мы	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 15, 'O')]
жвачка	[(0, 6, 'B-TYPE')]
конфеты леденцы	[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]
пылесос iri	[(0, 7, 'B-TYPE'), (8, 11, 'B-BRAND')]
рыба филе	[(0, 4, 'B-TYPE'), (5, 9, 'I-TYPE')]
чебупиццаю	[(0, 10, 'B-TYPE')]
сельдю	[(0, 6, 'B-TYPE')]
жок	[(0, 3, 'B-TYPE')]
клубника fresco	[(0, 8, 'B-TYPE'), (9, 15, 'B-BRAND')]
макароны по флотски	[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 19, 'O')]
gold	[(0, 4, 'B-BRAND')]
кукурузные палочки	[(0, 10, 'B-TYPE'), (11, 18, 'I-TYPE')]
пюре с черно	[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 12, 'O')]
сарафаноа	[(0, 9, 'B-TYPE')]
кефиир	[(0, 6, 'B-TYPE')]
куртки, ветров	[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')]
сыоок	[(0, 5, 'B-TYPE')]
сидр erdinger	[(0, 4, 'B-TYPE'), (5, 13, 'B-BRAND')]
пеканы	[(0, 6, 'B-TYPE')]
панировлчная	[(0, 12, 'B-TYPE')]
грейпфурт	[(0, 9, 'B-TYPE')]
ликен	[(0, 5, 'B-TYPE')]
льняная каша	[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]
кабачкк	[(0, 7, 'B-TYPE')]
